Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HP,HR,JH,JK,KL,KA,LA,LD,ML,MN,MP,MH,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,TG,UP,UT,UN,WB
25-Mar-20,2020-03-25,Confirmed,90,0,2,0,0,1,0,2,0,0,5,3,4,0,1,0,5,9,10,0,0,0,0,8,15,1,0,0,2,0,6,0,8,0,4,3,1,0,0
25-Mar-20,2020-03-25,Recovered,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Mar-20,2020-03-25,Deceased,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Mar-20,2020-03-26,Confirmed,65,1,1,0,0,3,0,3,0,0,1,0,5,0,1,0,3,19,4,0,0,0,0,5,3,0,0,1,2,0,2,0,3,0,3,4,0,0,1
26-Mar-20,2020-03-26,Recovered,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Mar-20,2020-03-26,Deceased,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Mar-20,2020-03-27,Confirmed,164,5,2,0,0,2,1,0,0,0,4,0,4,0,1,0,6,39,9,0,0,0,0,9,31,0,0,0,5,0,10,0,9,0,15,7,0,0,5
27-Mar-20,2020-03-27,Recovered,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,18,0,0,0,1,0,0,0,1,0,0,0,0,0,0
27-Mar-20,2020-03-27,Deceased,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Mar-20,2020-03-28,Confirmed,143,3,6,0,0,2,0,1,0,0,9,0,8,0,2,0,13,6,17,0,0,0,0,10,30,0,0,0,0,0,4,0,4,0,8,16,1,0,3
28-Mar-20,2020-03-28,Recovered,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28-Mar-20,2020-03-28,Deceased,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29-Mar-20,2020-03-29,Confirmed,110,0,2,0,0,4,0,0,0,0,23,2,8,0,0,0,5,20,2,0,0,0,0,0,17,0,0,0,0,0,5,0,8,0,3,7,1,0,3
29-Mar-20,2020-03-29,Recovered,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Mar-20,2020-03-29,Deceased,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Mar-20,2020-03-30,Confirmed,187,1,2,0,0,0,5,1,0,0,25,0,7,0,1,0,11,32,5,0,0,0,0,8,17,0,0,0,3,0,20,0,17,0,7,24,0,0,1
30-Mar-20,2020-03-30,Recovered,49,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,4,1,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,13,6,1,0,0
30-Mar-20,2020-03-30,Deceased,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,5,0,0,0,1
31-Mar-20,2020-03-31,Confirmed,309,0,21,0,1,6,2,1,0,0,23,0,4,0,7,1,6,7,13,0,0,0,0,19,82,0,0,1,1,0,14,0,57,0,20,8,0,0,15
31-Mar-20,2020-03-31,Recovered,15,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
31-Mar-20,2020-03-31,Deceased,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01-Apr-20,2020-04-01,Confirmed,424,0,67,0,15,3,2,0,0,0,32,0,13,0,0,0,7,24,9,0,0,0,0,32,33,0,0,1,4,2,27,0,110,0,30,13,0,0,0
01-Apr-20,2020-04-01,Recovered,16,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01-Apr-20,2020-04-01,Deceased,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0
02-Apr-20,2020-04-02,Confirmed,486,0,38,1,0,5,1,0,0,0,141,0,1,3,6,1,8,21,14,0,0,0,1,9,88,0,0,0,1,2,13,0,75,0,27,11,3,0,16
02-Apr-20,2020-04-02,Recovered,22,0,0,0,0,3,0,1,0,0,2,0,5,0,0,0,1,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
02-Apr-20,2020-04-02,Deceased,14,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03-Apr-20,2020-04-03,Confirmed,560,0,15,0,7,2,0,0,0,0,93,1,7,0,9,0,5,9,4,1,0,0,0,47,64,0,0,15,6,0,46,0,102,0,75,46,6,0,0
03-Apr-20,2020-04-03,Recovered,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,15,0,0,0,0
03-Apr-20,2020-04-03,Deceased,14,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0
04-Apr-20,2020-04-04,Confirmed,579,0,28,0,3,1,0,1,0,0,59,1,13,7,26,0,17,11,16,0,0,0,0,25,148,0,0,1,12,0,27,0,74,0,43,60,6,0,0
04-Apr-20,2020-04-04,Recovered,56,0,0,0,0,0,3,0,0,0,8,0,3,0,1,0,0,8,0,0,0,0,0,0,2,0,0,0,2,0,22,0,2,0,1,4,0,0,0
04-Apr-20,2020-04-04,Deceased,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0
05-Apr-20,2020-04-05,Confirmed,609,0,64,0,0,0,0,0,0,0,58,0,20,1,6,1,14,8,7,0,0,0,0,14,112,0,0,18,3,0,60,0,86,0,62,44,4,0,27
05-Apr-20,2020-04-05,Recovered,43,0,3,0,0,0,2,5,0,0,0,0,8,0,0,0,1,6,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,2,0,7
05-Apr-20,2020-04-05,Deceased,22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,2,0,0,0,2,0,0,1,0,0,0
06-Apr-20,2020-04-06,Confirmed,484,0,47,0,0,0,0,0,0,0,22,0,18,4,20,1,3,13,12,0,0,0,0,63,121,0,0,1,11,0,35,0,50,1,30,27,5,0,0
06-Apr-20,2020-04-06,Recovered,65,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,3,8,7,0,0,1,8,14,0,0,0,0,0,0,0,5,0,12,0,0,0,0
06-Apr-20,2020-04-06,Deceased,16,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0
07-Apr-20,2020-04-07,Confirmed,572,0,11,0,2,6,0,0,0,0,51,0,29,9,33,0,16,9,12,0,0,0,0,34,150,0,0,2,20,0,42,0,69,0,40,27,0,0,11
07-Apr-20,2020-04-07,Recovered,75,0,0,0,0,6,2,1,0,0,4,0,3,1,2,0,0,12,5,0,0,0,0,10,9,0,0,0,10,1,0,0,6,0,0,0,0,0,3
07-Apr-20,2020-04-07,Deceased,27,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,6,12,0,0,1,1,0,0,0,1,0,0,0,0,0,0
08-Apr-20,2020-04-08,Confirmed,565,1,34,0,0,1,0,0,0,0,93,0,11,0,24,0,33,9,6,0,0,0,0,51,117,0,0,0,7,0,40,0,48,0,49,29,4,0,8
08-Apr-20,2020-04-08,Recovered,96,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,13,3,0,0,0,0,4,38,0,0,0,0,0,20,0,2,0,0,10,1,0,0
08-Apr-20,2020-04-08,Deceased,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,8,0,0,0,1,0,1,0,1,0,0,1,0,0,2
09-Apr-20,2020-04-09,Confirmed,813,0,15,0,1,19,0,8,0,0,51,0,76,1,3,9,26,12,16,0,0,0,0,70,229,0,0,6,24,0,80,0,96,0,18,49,0,0,4
09-Apr-20,2020-04-09,Recovered,70,10,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,13,2,0,0,0,0,0,8,0,0,0,4,0,15,0,6,0,0,0,0,0,3
09-Apr-20,2020-04-09,Deceased,46,0,2,0,0,0,0,0,0,0,3,0,2,0,0,1,1,0,1,0,0,0,0,9,25,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10-Apr-20,2020-04-10,Confirmed,871,0,18,0,0,2,1,0,0,0,183,0,116,0,6,1,23,7,10,1,0,0,0,40,210,0,0,2,21,2,98,0,77,1,16,23,0,0,13
10-Apr-20,2020-04-10,Recovered,151,0,0,0,0,0,0,0,0,0,2,1,7,0,4,0,0,27,4,1,0,0,0,12,63,0,0,10,2,0,0,0,17,0,0,1,0,0,0
10-Apr-20,2020-04-10,Deceased,22,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0
11-Apr-20,2020-04-11,Confirmed,854,0,24,0,0,4,0,7,0,0,166,0,90,4,3,3,17,10,8,0,0,0,0,78,187,0,0,4,7,0,139,0,58,0,16,19,0,0,10
11-Apr-20,2020-04-11,Recovered,186,0,0,0,0,0,0,0,0,0,0,4,11,6,0,0,0,19,5,0,0,0,0,1,20,0,0,0,0,0,56,0,0,0,51,13,0,0,0
11-Apr-20,2020-04-11,Deceased,40,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,1,0,0,0,0,0,4,17,0,0,0,1,0,6,0,1,0,2,1,0,0,0
12-Apr-20,2020-04-12,Confirmed,758,0,15,0,1,0,2,6,0,0,85,0,48,0,16,2,21,2,17,0,0,0,0,33,221,0,0,0,12,0,104,0,106,0,28,31,0,0,8
12-Apr-20,2020-04-12,Recovered,114,0,2,0,0,11,0,1,0,0,1,0,0,4,8,0,0,36,15,0,0,0,0,3,9,0,0,0,3,0,5,0,6,0,7,0,0,0,3
12-Apr-20,2020-04-12,Deceased,42,0,1,0,0,0,0,0,0,0,5,0,2,0,1,1,0,0,0,0,0,0,0,3,22,0,0,0,0,0,2,0,1,0,2,0,0,0,2
13-Apr-20,2020-04-13,Confirmed,1243,0,19,0,2,2,0,0,0,0,356,0,56,0,1,5,25,3,15,2,0,1,0,52,352,0,0,1,6,0,93,0,98,0,61,75,0,0,18
13-Apr-20,2020-04-13,Recovered,112,0,0,0,0,2,0,0,0,0,3,0,10,0,7,0,10,19,6,1,0,0,0,10,12,0,0,6,2,0,0,0,8,0,0,4,2,0,10
